"areaName","landOwnerName","fullName","commonName","year"
"National Capital","4-Mile Run Conservancy","4-Mile Run","Bird",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Common Grackle",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Eastern gray squirrel",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Empty",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Human",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Mourning Dove",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Raccoon",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Red fox",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","Unknown",2020
"National Capital","4-Mile Run Conservancy","4-Mile Run","White-tailed deer",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Bird",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Bird - Blue jay",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Eastern chipmunk",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Eastern cottontail rabbit",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Eastern gray squirrel",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Empty",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Flying squirrel (cannot ID)",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Human",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Mouse",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Northern Flicker",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Raccoon",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Red fox",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Unknown",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","White-tailed deer",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","White-throated sparrow",2020
"National Capital","Arlington National Cemetery","Arlington National Cemetery","Wood Thrush ",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","American robin",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Bird",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Bird - Blue jay",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Domestic cat",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Downy Woodpecker",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Eastern chipmunk",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Eastern cottontail rabbit",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Eastern gray squirrel",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Empty",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Human",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Raccoon",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Red fox",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Unknown",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","White-tailed deer",2020
"National Capital","Army Navy Country Club","Army Navy Country Club","Wood Thrush ",2020
"National Capital","City of Alexandria ","Ben Brenman Park","Empty",2020
"National Capital","City of Alexandria ","Ben Brenman Park","Human",2020
"National Capital","City of Alexandria ","Ben Brenman Park","Red fox",2020
"National Capital","City of Alexandria ","Ben Brenman Park","Unknown",2020
"National Capital","City of Alexandria ","Dora Kelley Nature Park","Bird",2020
"National Capital","City of Alexandria ","Dora Kelley Nature Park","Coyote",2020
"National Capital","City of Alexandria ","Dora Kelley Nature Park","Domestic cat",2020
"National Capital","City of Alexandria ","Dora Kelley Nature Park","Domestic dog",2020
"National Capital","City of Alexandria ","Dora Kelley Nature Park","Empty",2020
"National Capital","City of Alexandria ","Dora Kelley Nature Park","Human",2020
"National Capital","City of Alexandria ","Dora Kelley Nature Park","Raccoon",2020
"National Capital","City of Alexandria ","Dora Kelley Nature Park","Red fox",2020
"National Capital","City of Alexandria ","Dora Kelley Nature Park","Unknown",2020
"National Capital","City of Alexandria ","Dora Kelley Nature Park","White-tailed deer",2020
"National Capital","City of Alexandria ","Fort Williams Park","American robin",2020
"National Capital","City of Alexandria ","Fort Williams Park","Bird",2020
"National Capital","City of Alexandria ","Fort Williams Park","Domestic cat",2020
"National Capital","City of Alexandria ","Fort Williams Park","Domestic dog",2020
"National Capital","City of Alexandria ","Fort Williams Park","Eastern chipmunk",2020
"National Capital","City of Alexandria ","Fort Williams Park","Eastern gray squirrel",2020
"National Capital","City of Alexandria ","Fort Williams Park","Empty",2020
"National Capital","City of Alexandria ","Fort Williams Park","Gray Catbird",2020
"National Capital","City of Alexandria ","Fort Williams Park","Human",2020
"National Capital","City of Alexandria ","Fort Williams Park","Mourning Dove",2020
"National Capital","City of Alexandria ","Fort Williams Park","Raccoon",2020
"National Capital","City of Alexandria ","Fort Williams Park","Red fox",2020
"National Capital","City of Alexandria ","Fort Williams Park","Unknown",2020
"National Capital","City of Alexandria ","Lee District Park","Coyote",2020
"National Capital","City of Alexandria ","Lee District Park","Domestic dog",2020
"National Capital","City of Alexandria ","Lee District Park","Eastern cottontail rabbit",2020
"National Capital","City of Alexandria ","Lee District Park","Eastern gray squirrel",2020
"National Capital","City of Alexandria ","Lee District Park","Empty",2020
"National Capital","City of Alexandria ","Lee District Park","Human",2020
"National Capital","City of Alexandria ","Lee District Park","Raccoon",2020
"National Capital","City of Alexandria ","Lee District Park","Red fox",2020
"National Capital","City of Alexandria ","Lee District Park","Unknown",2020
"National Capital","City of Alexandria ","Lee District Park","White-tailed deer",2020
"National Capital","City of Alexandria ","Lillian Carey Park","Bird",2020
"National Capital","City of Alexandria ","Lillian Carey Park","Coyote",2020
"National Capital","City of Alexandria ","Lillian Carey Park","Domestic cat",2020
"National Capital","City of Alexandria ","Lillian Carey Park","Domestic dog",2020
"National Capital","City of Alexandria ","Lillian Carey Park","Eastern gray squirrel",2020
"National Capital","City of Alexandria ","Lillian Carey Park","Empty",2020
"National Capital","City of Alexandria ","Lillian Carey Park","Human",2020
"National Capital","City of Alexandria ","Lillian Carey Park","Raccoon",2020
"National Capital","City of Alexandria ","Lillian Carey Park","Red fox",2020
"National Capital","City of Alexandria ","Lillian Carey Park","Unknown",2020
"National Capital","City of Alexandria ","Lillian Carey Park","Virginia opossum",2020
"National Capital","City of Alexandria ","Lillian Carey Park","White-tailed deer",2020
"National Capital","City of Alexandria ","Monticello Park","American robin",2020
"National Capital","City of Alexandria ","Monticello Park","Bird",2020
"National Capital","City of Alexandria ","Monticello Park","Bird - Blue jay",2020
"National Capital","City of Alexandria ","Monticello Park","Common Grackle",2020
"National Capital","City of Alexandria ","Monticello Park","Domestic dog",2020
"National Capital","City of Alexandria ","Monticello Park","Downy Woodpecker",2020
"National Capital","City of Alexandria ","Monticello Park","Eastern chipmunk",2020
"National Capital","City of Alexandria ","Monticello Park","Eastern cottontail rabbit",2020
"National Capital","City of Alexandria ","Monticello Park","Eastern gray squirrel",2020
"National Capital","City of Alexandria ","Monticello Park","Empty",2020
"National Capital","City of Alexandria ","Monticello Park","Human",2020
"National Capital","City of Alexandria ","Monticello Park","Mouse",2020
"National Capital","City of Alexandria ","Monticello Park","Northern cardinal",2020
"National Capital","City of Alexandria ","Monticello Park","Raccoon",2020
"National Capital","City of Alexandria ","Monticello Park","Red fox",2020
"National Capital","City of Alexandria ","Monticello Park","Unknown",2020
"National Capital","City of Arlington","Barcroft Park","Domestic dog",2020
"National Capital","City of Arlington","Barcroft Park","Eastern gray squirrel",2020
"National Capital","City of Arlington","Barcroft Park","Empty",2020
"National Capital","City of Arlington","Barcroft Park","Human",2020
"National Capital","City of Arlington","Barcroft Park","Raccoon",2020
"National Capital","City of Arlington","Barcroft Park","Red fox",2020
"National Capital","City of Arlington","Barcroft Park","Unknown",2020
"National Capital","City of Arlington","Barcroft Park","White-tailed deer",2020
"National Capital","City of Arlington","Bluemont Park","American robin",2020
"National Capital","City of Arlington","Bluemont Park","Bird",2020
"National Capital","City of Arlington","Bluemont Park","Brown Thrasher",2020
"National Capital","City of Arlington","Bluemont Park","Eastern chipmunk",2020
"National Capital","City of Arlington","Bluemont Park","Eastern gray squirrel",2020
"National Capital","City of Arlington","Bluemont Park","Empty",2020
"National Capital","City of Arlington","Bluemont Park","Human",2020
"National Capital","City of Arlington","Bluemont Park","Northern Flicker",2020
"National Capital","City of Arlington","Bluemont Park","Raccoon",2020
"National Capital","City of Arlington","Bluemont Park","Red fox",2020
"National Capital","City of Arlington","Bluemont Park","Unknown",2020
"National Capital","City of Arlington","Bluemont Park","White-tailed deer",2020
"National Capital","City of Arlington","Minor Hill Park","American robin",2020
"National Capital","City of Arlington","Minor Hill Park","Bird",2020
"National Capital","City of Arlington","Minor Hill Park","Brown Rat",2020
"National Capital","City of Arlington","Minor Hill Park","Domestic cat",2020
"National Capital","City of Arlington","Minor Hill Park","Domestic dog",2020
"National Capital","City of Arlington","Minor Hill Park","Eastern chipmunk",2020
"National Capital","City of Arlington","Minor Hill Park","Eastern cottontail rabbit",2020
"National Capital","City of Arlington","Minor Hill Park","Eastern gray squirrel",2020
"National Capital","City of Arlington","Minor Hill Park","Empty",2020
"National Capital","City of Arlington","Minor Hill Park","Human",2020
"National Capital","City of Arlington","Minor Hill Park","Mouse",2020
"National Capital","City of Arlington","Minor Hill Park","Northern cardinal",2020
"National Capital","City of Arlington","Minor Hill Park","Northern Flicker",2020
"National Capital","City of Arlington","Minor Hill Park","Northern Mockingbird",2020
"National Capital","City of Arlington","Minor Hill Park","Raccoon",2020
"National Capital","City of Arlington","Minor Hill Park","Rat spp.",2020
"National Capital","City of Arlington","Minor Hill Park","Red fox",2020
"National Capital","City of Arlington","Minor Hill Park","Unknown",2020
"National Capital","City of Arlington","Minor Hill Park","White-tailed deer",2020
"National Capital","Columbia Country Club","Columbia Country Club Golf Course","American robin",2020
"National Capital","Columbia Country Club","Columbia Country Club Golf Course","Bird",2020
"National Capital","Columbia Country Club","Columbia Country Club Golf Course","Eastern gray squirrel",2020
"National Capital","Columbia Country Club","Columbia Country Club Golf Course","Empty",2020
"National Capital","Columbia Country Club","Columbia Country Club Golf Course","Human",2020
"National Capital","Columbia Country Club","Columbia Country Club Golf Course","Northern cardinal",2020
"National Capital","Columbia Country Club","Columbia Country Club Golf Course","Northern Flicker",2020
"National Capital","Columbia Country Club","Columbia Country Club Golf Course","Raccoon",2020
"National Capital","Columbia Country Club","Columbia Country Club Golf Course","Red fox",2020
"National Capital","Columbia Country Club","Columbia Country Club Golf Course","Unknown",2020
"National Capital","Columbia Country Club","Columbia Country Club Golf Course","White-tailed deer",2020
"National Capital","District Parks and Rec","Pope Branch Park","Bird",2020
"National Capital","District Parks and Rec","Pope Branch Park","Bird - Blue jay",2020
"National Capital","District Parks and Rec","Pope Branch Park","Dark-eyed Junco",2020
"National Capital","District Parks and Rec","Pope Branch Park","Domestic cat",2020
"National Capital","District Parks and Rec","Pope Branch Park","Eastern gray squirrel",2020
"National Capital","District Parks and Rec","Pope Branch Park","Empty",2020
"National Capital","District Parks and Rec","Pope Branch Park","House Sparrow ",2020
"National Capital","District Parks and Rec","Pope Branch Park","Human",2020
"National Capital","District Parks and Rec","Pope Branch Park","Northern cardinal",2020
"National Capital","District Parks and Rec","Pope Branch Park","Raccoon",2020
"National Capital","District Parks and Rec","Pope Branch Park","Rat spp.",2020
"National Capital","District Parks and Rec","Pope Branch Park","Red fox",2020
"National Capital","District Parks and Rec","Pope Branch Park","Unknown",2020
"National Capital","District Parks and Rec","Pope Branch Park","Virginia opossum",2020
"National Capital","District Parks and Rec","Pope Branch Park","White-tailed deer",2020
"National Capital","District Parks and Rec","Pope Branch Park","White-throated sparrow",2020
"National Capital","District Parks and Rec","Pope Branch Park","Woodchuck",2020
"National Capital","Fairfax County","Bren Mar Park","Domestic cat",2020
"National Capital","Fairfax County","Bren Mar Park","Eastern gray squirrel",2020
"National Capital","Fairfax County","Bren Mar Park","Empty",2020
"National Capital","Fairfax County","Bren Mar Park","Human",2020
"National Capital","Fairfax County","Bren Mar Park","Raccoon",2020
"National Capital","Fairfax County","Bren Mar Park","Red fox",2020
"National Capital","Fairfax County","Bren Mar Park","Unknown",2020
"National Capital","Fairfax County","Bren Mar Park","White-tailed deer",2020
"National Capital","Fairfax County","Bush Hill Park","American robin",2020
"National Capital","Fairfax County","Bush Hill Park","Bird",2020
"National Capital","Fairfax County","Bush Hill Park","Bird - Blue jay",2020
"National Capital","Fairfax County","Bush Hill Park","Eastern gray squirrel",2020
"National Capital","Fairfax County","Bush Hill Park","Empty",2020
"National Capital","Fairfax County","Bush Hill Park","Human",2020
"National Capital","Fairfax County","Bush Hill Park","Raccoon",2020
"National Capital","Fairfax County","Bush Hill Park","Red fox",2020
"National Capital","Fairfax County","Bush Hill Park","Unknown",2020
"National Capital","Fairfax County","Bush Hill Park","White-tailed deer",2020
"National Capital","Fairfax County","Jefferson District Park","American robin",2020
"National Capital","Fairfax County","Jefferson District Park","Bird",2020
"National Capital","Fairfax County","Jefferson District Park","Bird - Blue jay",2020
"National Capital","Fairfax County","Jefferson District Park","Coyote",2020
"National Capital","Fairfax County","Jefferson District Park","Downy Woodpecker",2020
"National Capital","Fairfax County","Jefferson District Park","Eastern cottontail rabbit",2020
"National Capital","Fairfax County","Jefferson District Park","Eastern gray squirrel",2020
"National Capital","Fairfax County","Jefferson District Park","Empty",2020
"National Capital","Fairfax County","Jefferson District Park","Human",2020
"National Capital","Fairfax County","Jefferson District Park","Mourning Dove",2020
"National Capital","Fairfax County","Jefferson District Park","Northern Flicker",2020
"National Capital","Fairfax County","Jefferson District Park","Raccoon",2020
"National Capital","Fairfax County","Jefferson District Park","Red fox",2020
"National Capital","Fairfax County","Jefferson District Park","Unknown",2020
"National Capital","Fairfax County","Jefferson District Park","White-tailed deer",2020
"National Capital","Fairfax County","Marie Butler Levin Preserve","Bird",2020
"National Capital","Fairfax County","Marie Butler Levin Preserve","Eastern gray squirrel",2020
"National Capital","Fairfax County","Marie Butler Levin Preserve","Empty",2020
"National Capital","Fairfax County","Marie Butler Levin Preserve","Flying squirrel (cannot ID)",2020
"National Capital","Fairfax County","Marie Butler Levin Preserve","Human",2020
"National Capital","Fairfax County","Marie Butler Levin Preserve","Red fox",2020
"National Capital","Fairfax County","Marie Butler Levin Preserve","Unknown",2020
"National Capital","Fairfax County","Marie Butler Levin Preserve","White-tailed deer",2020
"National Capital","Fairfax County","Mason District Park","Coyote",2020
"National Capital","Fairfax County","Mason District Park","Domestic dog",2020
"National Capital","Fairfax County","Mason District Park","Eastern gray squirrel",2020
"National Capital","Fairfax County","Mason District Park","Empty",2020
"National Capital","Fairfax County","Mason District Park","Human",2020
"National Capital","Fairfax County","Mason District Park","Raccoon",2020
"National Capital","Fairfax County","Mason District Park","Red fox",2020
"National Capital","Fairfax County","Mason District Park","Unknown",2020
"National Capital","Fairfax County","Mason District Park","White-tailed deer",2020
"National Capital","Fairfax County","McClean Central Park","American robin",2020
"National Capital","Fairfax County","McClean Central Park","Bird",2020
"National Capital","Fairfax County","McClean Central Park","Eastern gray squirrel",2020
"National Capital","Fairfax County","McClean Central Park","Empty",2020
"National Capital","Fairfax County","McClean Central Park","Human",2020
"National Capital","Fairfax County","McClean Central Park","Raccoon",2020
"National Capital","Fairfax County","McClean Central Park","Red fox",2020
"National Capital","Fairfax County","McClean Central Park","Unknown",2020
"National Capital","Fairfax County","McClean Central Park","White-tailed deer",2020
"National Capital","Fairfax County","Providence Recreation Center","American Crow",2020
"National Capital","Fairfax County","Providence Recreation Center","American robin",2020
"National Capital","Fairfax County","Providence Recreation Center","Bird",2020
"National Capital","Fairfax County","Providence Recreation Center","Bird - Blue jay",2020
"National Capital","Fairfax County","Providence Recreation Center","Carolina Wren",2020
"National Capital","Fairfax County","Providence Recreation Center","Domestic dog",2020
"National Capital","Fairfax County","Providence Recreation Center","Eastern cottontail rabbit",2020
"National Capital","Fairfax County","Providence Recreation Center","Eastern gray squirrel",2020
"National Capital","Fairfax County","Providence Recreation Center","Empty",2020
"National Capital","Fairfax County","Providence Recreation Center","Human",2020
"National Capital","Fairfax County","Providence Recreation Center","Mouse",2020
"National Capital","Fairfax County","Providence Recreation Center","Northern cardinal",2020
"National Capital","Fairfax County","Providence Recreation Center","Northern Flicker",2020
"National Capital","Fairfax County","Providence Recreation Center","Raccoon",2020
"National Capital","Fairfax County","Providence Recreation Center","Red fox",2020
"National Capital","Fairfax County","Providence Recreation Center","Unknown",2020
"National Capital","Fairfax County","Providence Recreation Center","White-tailed deer",2020
"National Capital","Fairfax County","Roundtree Park","American robin",2020
"National Capital","Fairfax County","Roundtree Park","Bird",2020
"National Capital","Fairfax County","Roundtree Park","Brown Thrasher",2020
"National Capital","Fairfax County","Roundtree Park","Domestic dog",2020
"National Capital","Fairfax County","Roundtree Park","Eastern chipmunk",2020
"National Capital","Fairfax County","Roundtree Park","Eastern cottontail rabbit",2020
"National Capital","Fairfax County","Roundtree Park","Eastern gray squirrel",2020
"National Capital","Fairfax County","Roundtree Park","Empty",2020
"National Capital","Fairfax County","Roundtree Park","Human",2020
"National Capital","Fairfax County","Roundtree Park","Raccoon",2020
"National Capital","Fairfax County","Roundtree Park","Red fox",2020
"National Capital","Fairfax County","Roundtree Park","Unknown",2020
"National Capital","Fairfax County","Roundtree Park","Virginia opossum",2020
"National Capital","Fairfax County","Roundtree Park","White-tailed deer",2020
"National Capital","Montgomery County","Capital View Homewood Park","American robin",2020
"National Capital","Montgomery County","Capital View Homewood Park","Bird",2020
"National Capital","Montgomery County","Capital View Homewood Park","Brown Thrasher",2020
"National Capital","Montgomery County","Capital View Homewood Park","Domestic cat",2020
"National Capital","Montgomery County","Capital View Homewood Park","Domestic dog",2020
"National Capital","Montgomery County","Capital View Homewood Park","Eastern chipmunk",2020
"National Capital","Montgomery County","Capital View Homewood Park","Eastern cottontail rabbit",2020
"National Capital","Montgomery County","Capital View Homewood Park","Eastern gray squirrel",2020
"National Capital","Montgomery County","Capital View Homewood Park","Empty",2020
"National Capital","Montgomery County","Capital View Homewood Park","Human",2020
"National Capital","Montgomery County","Capital View Homewood Park","Mourning Dove",2020
"National Capital","Montgomery County","Capital View Homewood Park","Mouse",2020
"National Capital","Montgomery County","Capital View Homewood Park","Northern cardinal",2020
"National Capital","Montgomery County","Capital View Homewood Park","Northern Flicker",2020
"National Capital","Montgomery County","Capital View Homewood Park","Raccoon",2020
"National Capital","Montgomery County","Capital View Homewood Park","Red fox",2020
"National Capital","Montgomery County","Capital View Homewood Park","Unknown",2020
"National Capital","Montgomery County","Capital View Homewood Park","White-tailed deer",2020
"National Capital","Montgomery County","Indian Spring Terrace Park","American robin",2020
"National Capital","Montgomery County","Indian Spring Terrace Park","Bird",2020
"National Capital","Montgomery County","Indian Spring Terrace Park","Eastern gray squirrel",2020
"National Capital","Montgomery County","Indian Spring Terrace Park","Empty",2020
"National Capital","Montgomery County","Indian Spring Terrace Park","Human",2020
"National Capital","Montgomery County","Indian Spring Terrace Park","Raccoon",2020
"National Capital","Montgomery County","Indian Spring Terrace Park","Red fox",2020
"National Capital","Montgomery County","Indian Spring Terrace Park","Unknown",2020
