"","CommonName","locationAbbr","photoDateTime","photoName","visitDateTime","activeStart","activeEnd","firstPhotoDate","lastPhotoDate","visitID","date"
"54795","Empty","D02-BMT2",2019-01-23 23:20:17,"VID1302-00032.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54796","Empty","D02-BMT2",2019-01-23 23:21:22,"VID1302-00033.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54797","Empty","D02-BMT2",2019-01-23 23:21:22,"VID1302-00033.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54798","Empty","D02-BMT2",2019-01-23 23:21:51,"VID1302-00034.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54799","Empty","D02-BMT2",2019-01-23 23:21:51,"VID1302-00034.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54800","Empty","D02-BMT2",2019-01-23 23:22:37,"VID1302-00035.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54801","Empty","D02-BMT2",2019-01-23 23:22:37,"VID1302-00035.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54802","Empty","D02-BMT2",2019-01-23 23:23:53,"VID1302-00036.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54803","Empty","D02-BMT2",2019-01-23 23:23:53,"VID1302-00036.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54804","Empty","D02-BMT2",2019-01-23 23:24:23,"VID1302-00037.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54805","Empty","D02-BMT2",2019-01-23 23:24:23,"VID1302-00037.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54806","Empty","D02-BMT2",2019-01-23 23:25:02,"VID1302-00038.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54807","Empty","D02-BMT2",2019-01-23 23:25:02,"VID1302-00038.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54808","Empty","D02-BMT2",2019-01-23 23:25:43,"VID1302-00039.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54809","Empty","D02-BMT2",2019-01-23 23:25:43,"VID1302-00039.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54810","Empty","D02-BMT2",2019-01-23 23:26:16,"VID1302-00040.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54811","Empty","D02-BMT2",2019-01-23 23:26:16,"VID1302-00040.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54812","Empty","D02-BMT2",2019-01-23 23:26:49,"VID1302-00041.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54813","Empty","D02-BMT2",2019-01-23 23:26:49,"VID1302-00041.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54814","Empty","D02-BMT2",2019-01-23 23:27:19,"VID1302-00042.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54815","Empty","D02-BMT2",2019-01-23 23:27:19,"VID1302-00042.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54816","Empty","D02-BMT2",2019-01-23 23:28:48,"VID1302-00043.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54817","Empty","D02-BMT2",2019-01-23 23:28:48,"VID1302-00043.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54818","Empty","D02-BMT2",2019-01-23 23:29:24,"VID1302-00044.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54819","Empty","D02-BMT2",2019-01-23 23:29:24,"VID1302-00044.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54820","Empty","D02-BMT2",2019-01-23 23:30:13,"VID1302-00045.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54821","Empty","D02-BMT2",2019-01-23 23:30:13,"VID1302-00045.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
"54822","Empty","D02-BMT2",2019-01-23 23:30:54,"VID1302-00046.jpg",2019-02-06 23:15:00,"2010-12-31 16:50:00",2019-01-24 11:56:03,2010-12-31 16:50:00,2019-01-24 11:55:21,1302,2019-01-23
